Zainteresowanie e-sport,id_esport,id_dop,Indeks
Nie œledzê za czêsto wyników lub livestreamów z rozgrywek ale wiem co to esport,3,144,172
Nie wiem co to e-sport,2,145,173
Tak œledzê wyniki dru¿yn e-sportowych,5,146,174
Tak ogl¹dam livestreamy z rozgrywek,4,146,175
Nie wiem co to e-sport,2,147,176
Tak œledzê wyniki dru¿yn e-sportowych,5,148,177
Tak ogl¹dam livestreamy z rozgrywek,4,148,178
Nie œledzê za czêsto wyników lub livestreamów z rozgrywek ale wiem co to esport,3,149,179
Tak œledzê wyniki dru¿yn e-sportowych,5,150,180
Tak ogl¹dam livestreamy z rozgrywek,4,150,181
Nie interesuje siê e-sportem,1,151,182
Tak œledzê wyniki dru¿yn e-sportowych,5,152,183
Tak ogl¹dam livestreamy z rozgrywek,4,152,184
Tak ogl¹dam livestreamy z rozgrywek,4,153,185
Nie œledzê za czêsto wyników lub livestreamów z rozgrywek ale wiem co to esport,3,153,186
Nie œledzê za czêsto wyników lub livestreamów z rozgrywek ale wiem co to esport,3,154,187
Tak ogl¹dam livestreamy z rozgrywek,4,155,188
Tak œledzê wyniki dru¿yn e-sportowych,5,156,189
Tak ogl¹dam livestreamy z rozgrywek,4,156,190
Nie interesuje siê e-sportem,1,157,191
Nie wiem co to e-sport,2,158,192
Nie œledzê za czêsto wyników lub livestreamów z rozgrywek ale wiem co to esport,3,159,193
Nie interesuje siê e-sportem,1,160,194
Nie wiem co to e-sport,2,160,195
Nie interesuje siê e-sportem,1,161,196
Tak œledzê wyniki dru¿yn e-sportowych,5,162,197
Tak ogl¹dam livestreamy z rozgrywek,4,162,198
Tak œledzê wyniki dru¿yn e-sportowych,5,163,199
Tak ogl¹dam livestreamy z rozgrywek,4,163,200
Nie interesuje siê e-sportem,1,164,201
Nie wiem co to e-sport,2,164,202
Nie interesuje siê e-sportem,1,165,203
Tak œledzê wyniki dru¿yn e-sportowych,5,166,204
Tak œledzê wyniki dru¿yn e-sportowych,5,167,205
Nie interesuje siê e-sportem,1,168,206
Nie wiem co to e-sport,2,168,207
Nie interesuje siê e-sportem,1,169,208
Tak ogl¹dam livestreamy z rozgrywek,4,170,209
Tak ogl¹dam livestreamy z rozgrywek,4,171,210
Nie œledzê za czêsto wyników lub livestreamów z rozgrywek ale wiem co to esport,3,172,211
Tak œledzê wyniki dru¿yn e-sportowych,5,173,212
Tak ogl¹dam livestreamy z rozgrywek,4,173,213
Nie interesuje siê e-sportem,1,174,214
Nie interesuje siê e-sportem,1,175,215
Tak œledzê wyniki dru¿yn e-sportowych,5,176,216
Nie œledzê za czêsto wyników lub livestreamów z rozgrywek ale wiem co to esport,3,176,217
Nie interesuje siê e-sportem,1,177,218
Nie œledzê za czêsto wyników lub livestreamów z rozgrywek ale wiem co to esport,3,178,219
Nie œledzê za czêsto wyników lub livestreamów z rozgrywek ale wiem co to esport,3,179,220
Nie interesuje siê e-sportem,1,180,221
Tak ogl¹dam livestreamy z rozgrywek,4,181,222
Tak œledzê wyniki dru¿yn e-sportowych,5,182,223
Tak ogl¹dam livestreamy z rozgrywek,4,182,224
Nie wiem co to e-sport,2,183,225
Tak ogl¹dam livestreamy z rozgrywek,4,184,226
Tak œledzê wyniki dru¿yn e-sportowych,5,185,227
Tak ogl¹dam livestreamy z rozgrywek,4,185,228
Tak ogl¹dam livestreamy z rozgrywek,4,186,229
Tak œledzê wyniki dru¿yn e-sportowych,5,187,230
Tak ogl¹dam livestreamy z rozgrywek,4,188,231
Tak œledzê wyniki dru¿yn e-sportowych,5,189,232
Tak ogl¹dam livestreamy z rozgrywek,4,189,233
Tak œledzê wyniki dru¿yn e-sportowych,5,190,234
Tak ogl¹dam livestreamy z rozgrywek,4,190,235
Tak œledzê wyniki dru¿yn e-sportowych,5,191,236
Tak ogl¹dam livestreamy z rozgrywek,4,191,237
Nie wiem co to e-sport,2,192,238
Tak œledzê wyniki dru¿yn e-sportowych,5,193,239
Tak ogl¹dam livestreamy z rozgrywek,4,193,240
Nie œledzê za czêsto wyników lub livestreamów z rozgrywek ale wiem co to esport,3,194,241
Nie œledzê za czêsto wyników lub livestreamów z rozgrywek ale wiem co to esport,3,195,242
Nie œledzê za czêsto wyników lub livestreamów z rozgrywek ale wiem co to esport,3,196,243
Nie interesuje siê e-sportem,1,197,244
Tak ogl¹dam livestreamy z rozgrywek,4,198,245
Nie wiem co to e-sport,2,199,246
