Dru¿yny,id_druzyna,id_odp,id_przech_odp_druzyny
Mia³bym/mia³abym ca³¹ dru¿ynê do Counter-Strike: Global Offensive,1,181,211
Mia³bym/mia³abym czêœæ dru¿yny do Counter-Strike: Global Offensive,10,181,212
Mia³bym/mia³abym ca³¹ dru¿ynê do Counter-Strike: Global Offensive,1,182,213
Nie dotyczy,16,183,214
Nie dotyczy,16,184,215
Nie mia³bym/mia³abym dru¿yny do League of legends,23,185,216
Mia³bym/mia³abym ca³¹ dru¿ynê do Dota 2,2,186,217
Mia³bym/mia³abym ca³¹ dru¿ynê do Dota 2,2,187,218
Nie mia³bym/mia³abym dru¿yny do League of legends,23,188,219
Mia³bym/mia³abym czêœæ dru¿yny do Counter-Strike: Global Offensive,10,188,220
Mia³bym/mia³abym czêœæ dru¿yny do League of legends,12,189,221
Nie mia³bym/mia³abym dru¿yny do Counter-Strike: Global Offensive,20,190,222
Nie dotyczy,16,191,223
Nie dotyczy,16,192,224
Nie mia³bym/mia³abym dru¿yny do League of legends,23,193,225
Nie mia³bym/mia³abym dru¿yny do Counter-Strike: Global Offensive,20,194,226
Nie mia³bym/mia³abym dru¿yny do League of legends,23,195,227
Mia³bym/mia³abym czêœæ dru¿yny do League of legends,12,196,228
Nie dotyczy,16,197,229
Nie mia³bym/mia³abym dru¿yny do Counter-Strike: Global Offensive,20,198,230
Nie dotyczy,16,199,231
