Sygnatura czasowa,Gry regularne,Zainteresowanie e-sport,Zainteresowanie turniej,Czy udzia³,Gry turniej,Dru¿yny,P³eæ,Wiek,Wydzia³,Czy poda³ mail
5/7/2017 18:32:09,Nie gram w nic regularnie,Nie œledzê za czêsto wyników lub livestreamów z rozgrywek ale wiem co to esport,Chcia³bym/chcia³abym uczestniczyæ w imprezie (np. na Auli) gdzie prowadzone by³by rozgrywki,TRUE,World of Tanks,Nie dotyczy,Mê¿czyzna,23,Nauk Politycznych i Stosunków Miêdzynarodowych,FALSE
5/8/2017 10:29:15,League of legends,Nie œledzê za czêsto wyników lub livestreamów z rozgrywek ale wiem co to esport,"Œledzi³bym/œledzi³abym wyniki, Ogl¹da³bym/ogl¹da³abym livestream z rozgrywek, Chcia³bym/chcia³abym uczestniczyæ w imprezie (np. na Auli) gdzie prowadzone by³by rozgrywki",TRUE,League of legends,Mia³bym/mia³abym ca³¹ dru¿ynê do League of legends,Mê¿czyzna,23,Prawa i Administracji,TRUE
5/4/2017 20:20:40,Nie gram w nic regularnie,Nie interesuje siê e-sportem,Nie interesowa³oby mnie to,FALSE,Nie dotyczy,Nie dotyczy,Kobieta,23,Psychologii,FALSE
5/7/2017 19:17:14,Counter-Strike: Global Offensive,Tak ogl¹dam livestreamy z rozgrywek,Chcia³bym/chcia³abym uczestniczyæ w imprezie (np. na Auli) gdzie prowadzone by³by rozgrywki,TRUE,Counter-Strike: Global Offensive,"Mia³bym/mia³abym ca³¹ dru¿ynê do Counter-Strike: Global Offensive, Mia³bym/mia³abym czêœæ dru¿yny do Counter-Strike: Global Offensive",Mê¿czyzna,23,Zarz¹dzania,FALSE
5/6/2017 14:47:40,Counter-Strike: Global Offensive,"Tak œledzê wyniki dru¿yn e-sportowych, Tak ogl¹dam livestreamy z rozgrywek","Œledzi³bym/œledzi³abym wyniki, Ogl¹da³bym/ogl¹da³abym livestream z rozgrywek, Chcia³bym/chcia³abym uczestniczyæ w imprezie (np. na Auli) gdzie prowadzone by³by rozgrywki",TRUE,Counter-Strike: Global Offensive,Mia³bym/mia³abym ca³¹ dru¿ynê do Counter-Strike: Global Offensive,Mê¿czyzna,24,Geografii i Studiów Regionalnych,TRUE
5/4/2017 15:22:01,Nie gram w nic regularnie,Nie wiem co to e-sport,Nie interesowa³oby mnie to,FALSE,Nie dotyczy,Nie dotyczy,Kobieta,24,Instytut Komunikacji Specjalistycznej i Interkulturowej,FALSE
5/2/2017 18:54:38,Hearthstone,Tak ogl¹dam livestreamy z rozgrywek,Chcia³bym/chcia³abym uczestniczyæ w imprezie (np. na Auli) gdzie prowadzone by³by rozgrywki,TRUE,Hearthstone,Nie dotyczy,Mê¿czyzna,24,"Matematyki, Informatyki i Mechaniki",TRUE
5/2/2017 19:47:16,League of legends,"Tak œledzê wyniki dru¿yn e-sportowych, Tak ogl¹dam livestreamy z rozgrywek",Chcia³bym/chcia³abym uczestniczyæ w imprezie (np. na Auli) gdzie prowadzone by³by rozgrywki,TRUE,League of legends,Nie mia³bym/mia³abym dru¿yny do League of legends,Mê¿czyzna,24,"Matematyki, Informatyki i Mechaniki",TRUE
5/2/2017 20:56:50,Dota 2,Tak ogl¹dam livestreamy z rozgrywek,"Œledzi³bym/œledzi³abym wyniki, Chcia³bym/chcia³abym uczestniczyæ w imprezie (np. na Auli) gdzie prowadzone by³by rozgrywki",TRUE,Dota 2,Mia³bym/mia³abym ca³¹ dru¿ynê do Dota 2,Mê¿czyzna,24,"Matematyki, Informatyki i Mechaniki",FALSE
5/4/2017 19:19:26,Dota 2,Tak œledzê wyniki dru¿yn e-sportowych,Chcia³bym/chcia³abym uczestniczyæ w imprezie (np. na Auli) gdzie prowadzone by³by rozgrywki,TRUE,Dota 2,Mia³bym/mia³abym ca³¹ dru¿ynê do Dota 2,Mê¿czyzna,24,"Matematyki, Informatyki i Mechaniki",FALSE
5/4/2017 20:24:12,"League of legends, Counter-Strike: Global Offensive",Tak ogl¹dam livestreamy z rozgrywek,Chcia³bym/chcia³abym uczestniczyæ w imprezie (np. na Auli) gdzie prowadzone by³by rozgrywki,TRUE,"League of legends, Counter-Strike: Global Offensive","Nie mia³bym/mia³abym dru¿yny do League of legends, Mia³bym/mia³abym czêœæ dru¿yny do Counter-Strike: Global Offensive",Mê¿czyzna,24,"Matematyki, Informatyki i Mechaniki",FALSE
5/5/2017 10:52:47,League of legends,"Tak œledzê wyniki dru¿yn e-sportowych, Tak ogl¹dam livestreamy z rozgrywek","Œledzi³bym/œledzi³abym wyniki, Ogl¹da³bym/ogl¹da³abym livestream z rozgrywek, Chcia³bym/chcia³abym uczestniczyæ w imprezie (np. na Auli) gdzie prowadzone by³by rozgrywki",TRUE,League of legends,Mia³bym/mia³abym czêœæ dru¿yny do League of legends,Mê¿czyzna,24,Psychologii,TRUE
5/2/2017 19:05:16,Nie gram w nic regularnie,"Tak œledzê wyniki dru¿yn e-sportowych, Tak ogl¹dam livestreamy z rozgrywek",Chcia³bym/chcia³abym uczestniczyæ w imprezie (np. na Auli) gdzie prowadzone by³by rozgrywki,FALSE,Counter-Strike: Global Offensive,Nie mia³bym/mia³abym dru¿yny do Counter-Strike: Global Offensive,Mê¿czyzna,25,"Matematyki, Informatyki i Mechaniki",FALSE
5/2/2017 19:50:21,Starcraft 2,"Tak œledzê wyniki dru¿yn e-sportowych, Tak ogl¹dam livestreamy z rozgrywek","Œledzi³bym/œledzi³abym wyniki, Ogl¹da³bym/ogl¹da³abym livestream z rozgrywek, Chcia³bym/chcia³abym uczestniczyæ w imprezie (np. na Auli) gdzie prowadzone by³by rozgrywki",TRUE,Starcraft 2,Nie dotyczy,Mê¿czyzna,25,"Matematyki, Informatyki i Mechaniki",TRUE
5/6/2017 22:25:00,Nie gram w nic regularnie,Nie wiem co to e-sport,Nie interesowa³oby mnie to,TRUE,Nie dotyczy,Nie dotyczy,Kobieta,25,Zarz¹dzania,FALSE
5/3/2017 14:57:27,"Overwatch, Hearthstone, League of legends","Tak œledzê wyniki dru¿yn e-sportowych, Tak ogl¹dam livestreamy z rozgrywek","Œledzi³bym/œledzi³abym wyniki, Chcia³bym/chcia³abym uczestniczyæ w imprezie (np. na Auli) gdzie prowadzone by³by rozgrywki",TRUE,"Hearthstone, League of legends",Nie mia³bym/mia³abym dru¿yny do League of legends,Mê¿czyzna,25,Zarz¹dzania,TRUE
5/2/2017 23:05:01,Nie gram w nic regularnie,Nie œledzê za czêsto wyników lub livestreamów z rozgrywek ale wiem co to esport,Ogl¹da³bym/ogl¹da³abym livestream z rozgrywek,TRUE,FIFA,Nie mia³bym/mia³abym dru¿yny do Counter-Strike: Global Offensive,Mê¿czyzna,26,"Matematyki, Informatyki i Mechaniki",FALSE
5/3/2017 1:00:41,League of legends,Nie œledzê za czêsto wyników lub livestreamów z rozgrywek ale wiem co to esport,"Œledzi³bym/œledzi³abym wyniki, Ogl¹da³bym/ogl¹da³abym livestream z rozgrywek",TRUE,League of legends,Nie mia³bym/mia³abym dru¿yny do League of legends,Mê¿czyzna,26,Psychologii,TRUE
5/4/2017 13:34:33,League of legends,Nie œledzê za czêsto wyników lub livestreamów z rozgrywek ale wiem co to esport,Chcia³bym/chcia³abym uczestniczyæ w imprezie (np. na Auli) gdzie prowadzone by³by rozgrywki,TRUE,League of legends,Mia³bym/mia³abym czêœæ dru¿yny do League of legends,Kobieta,28,Psychologii,FALSE
5/3/2017 10:06:26,World of Tanks,Nie interesuje siê e-sportem,Nie interesowa³oby mnie to,FALSE,Nie dotyczy,Nie dotyczy,Mê¿czyzna,28,Zarz¹dzania,FALSE
5/7/2017 19:18:42,"Counter-Strike: Global Offensive, Heroes of the Storm",Tak ogl¹dam livestreamy z rozgrywek,Ogl¹da³bym/ogl¹da³abym livestream z rozgrywek,TRUE,Counter-Strike: Global Offensive,Nie mia³bym/mia³abym dru¿yny do Counter-Strike: Global Offensive,Kobieta,28,Zarz¹dzania,FALSE
5/4/2017 17:19:22,Nie gram w nic regularnie,Nie wiem co to e-sport,Nie interesowa³oby mnie to,FALSE,Nie dotyczy,Nie dotyczy,Kobieta,37,Uniwersyteckie Kolegium Kszta³cenia Nauczycieli Jêzyka Francuskiego,FALSE
